sale_id,cst_id,prd_id,sale_date,quantity,unit_price,sale_amount,channel
169,101.0,10.0,2024-02-29,3.0,1730.95,5192.85,Online
170,328.0,27.0,2024-06-04,,1542.75,,Store
171,,19.0,2024-06-19,1.0,1628.81,1628.81,Store
172,265.0,147.0,2025-06-08,3.0,880.91,2642.73,Store
173,196.0,109.0,2024-03-01,3.0,649.33,1947.99,Online
174,57.0,10.0,2024-08-26,3.0,652.02,1956.06,Unknown
175,418.0,7.0,2024-11-22,3.0,361.63,1084.89,
176,135.0,24.0,2024-08-12,3.0,1943.41,5830.23,
177,493.0,76.0,2025-06-27,1000.0,1725.56,1725560.0,Store
178,20.0,92.0,2025-06-16,1.0,558.69,558.69,Online
179,237.0,109.0,2024-08-16,1000.0,1404.04,1404040.0,Unknown
180,337.0,59.0,2024-08-25,1000.0,1003.66,1003660.0,Store
181,460.0,133.0,2024-06-20,3.0,151.19,453.57,Partner
182,356.0,145.0,2025-04-03,2.0,28.99,57.98,Online
183,361.0,88.0,2024-07-05,3.0,140.22,420.66,
184,360.0,42.0,2024-05-30,3.0,1040.99,3122.97,Partner
185,48.0,28.0,2025-06-08,2.0,908.9,1817.8,Online
186,265.0,7.0,2024-05-28,1.0,451.04,451.04,Store
187,218.0,60.0,2024-01-31,1.0,889.95,889.95,Partner
188,265.0,1.0,2024-03-08,1.0,1871.07,1871.07,Unknown
189,58.0,15.0,2025-01-04,,772.77,,
190,293.0,150.0,2025-03-31,3.0,1665.16,4995.48,
191,426.0,99.0,2024-11-08,3.0,224.88,674.64,Partner
192,183.0,90.0,2024-07-26,-1.0,883.73,,Store
193,365.0,99.0,2023-12-09,3.0,698.82,2096.46,Store
194,340.0,123.0,2025-01-08,3.0,997.96,2993.88,Unknown
195,212.0,117.0,2025-03-16,-1.0,1914.1,,Online
196,446.0,117.0,2024-08-09,3.0,750.1,2250.3,Store
197,165.0,146.0,2025-06-10,,1065.55,,
198,171.0,110.0,2024-09-22,1000.0,537.54,537540.0,Store
199,275.0,40.0,2023-12-27,3.0,1546.02,4638.06,Unknown
200,98.0,127.0,2025-05-26,2.0,1348.89,2697.78,Partner
201,330.0,39.0,2025-04-27,1.0,1702.48,1702.48,
202,302.0,51.0,2025-01-06,1000.0,1180.71,1180710.0,Partner
203,168.0,144.0,2024-09-24,-1.0,1865.89,,Store
204,77.0,135.0,2024-06-03,-1.0,797.31,,Store
205,127.0,85.0,2023-12-05,1000.0,801.34,801340.0,Unknown
206,123.0,63.0,2025-04-27,3.0,54.79,164.37,Online
207,297.0,40.0,2024-02-29,2.0,378.24,756.48,Unknown
208,395.0,100.0,2024-11-12,1000.0,130.5,130500.0,Partner
209,84.0,24.0,2023-08-10,3.0,1601.68,4805.04,Unknown
210,199.0,21.0,2024-12-04,,1745.75,,Online
211,73.0,62.0,2023-09-07,2.0,1904.48,3808.96,Online
212,464.0,52.0,2025-03-15,-1.0,1172.14,,Online
213,247.0,124.0,2024-03-25,1.0,1044.36,1044.36,Unknown
214,23.0,100.0,2024-12-18,3.0,439.67,1319.01,Partner
215,170.0,9.0,2024-09-29,1.0,349.45,349.45,Online
216,138.0,94.0,2024-02-01,2.0,537.9,1075.8,
217,220.0,26.0,2024-04-23,-1.0,1615.43,,Store
218,310.0,59.0,2023-11-26,1.0,1294.5,1294.5,
219,3.0,119.0,2024-06-07,1.0,1250.7,1250.7,
220,398.0,31.0,2025-05-27,,1377.0,,Partner
221,78.0,32.0,2025-01-04,3.0,1876.15,5628.45,Online
222,175.0,87.0,2023-09-07,,182.91,,Online
223,462.0,,2023-12-24,1000.0,756.53,756530.0,Partner
224,92.0,143.0,2025-03-13,-1.0,1877.32,,
225,197.0,95.0,2025-06-07,2.0,865.9,1731.8,Unknown
226,287.0,101.0,2024-03-22,3.0,306.58,919.74,Store
227,114.0,54.0,2025-05-10,1000.0,1694.47,1694470.0,Online
228,36.0,137.0,UNKNOWN,,1806.38,,Partner
229,416.0,115.0,2024-05-30,3.0,83.06,249.18,
230,32.0,,2023-10-31,2.0,194.09,388.18,Partner
231,65.0,84.0,2023-08-30,-1.0,218.89,,Online
232,190.0,2.0,2024-02-26,-1.0,220.74,,Online
233,219.0,60.0,2023-09-28,-1.0,888.24,,Store
234,123.0,61.0,2025-04-27,,1072.81,,Unknown
235,,34.0,2024-09-20,2.0,1680.94,3361.88,Partner
236,419.0,26.0,2025-03-12,3.0,1935.04,5805.12,Partner
237,469.0,102.0,2025-05-23,,897.64,,Partner
238,,150.0,2025-03-18,1000.0,607.57,607570.0,Unknown
239,474.0,93.0,2024-11-05,2.0,1835.04,3670.08,Partner
240,454.0,15.0,2024-12-07,3.0,1638.39,4915.17,
241,5.0,45.0,2024-10-02,2.0,1619.95,3239.9,Partner
242,392.0,14.0,2025-03-05,1000.0,1033.08,1033080.0,Store
243,285.0,,2024-08-11,-1.0,1852.28,,Online
244,433.0,29.0,2023-07-14,-1.0,1457.02,,Online
245,248.0,15.0,2025-04-04,-1.0,41.14,,Unknown
246,241.0,84.0,2023-09-27,,1613.82,,Online
247,383.0,107.0,2024-02-06,3.0,28.78,86.34,Unknown
248,60.0,150.0,2025-03-08,1000.0,1818.61,1818610.0,Online
249,390.0,144.0,2023-10-20,-1.0,1095.28,,Store
250,72.0,65.0,2023-10-19,1.0,389.22,389.22,Store
251,355.0,132.0,2024-05-07,3.0,1679.51,5038.53,Store
252,335.0,23.0,2023-08-18,2.0,71.5,143.0,Online
253,200.0,1.0,2023-07-12,1.0,229.05,229.05,Online
254,400.0,143.0,2024-04-17,1.0,101.21,101.21,
255,5.0,50.0,2024-09-18,,1898.0,,Partner
256,43.0,78.0,2024-12-06,3.0,1914.61,5743.83,Online
257,25.0,97.0,2024-11-14,1.0,1648.09,1648.09,Unknown
258,367.0,14.0,2024-10-09,3.0,1605.01,4815.03,Unknown
259,73.0,144.0,2024-07-20,3.0,1271.35,3814.05,Unknown
260,346.0,123.0,2024-05-16,1000.0,1556.9,1556900.0,Unknown
261,111.0,56.0,2025-03-11,1.0,198.94,198.94,Online
262,494.0,68.0,2025-02-22,-1.0,1138.95,,
263,379.0,136.0,2025-07-04,2.0,1779.97,3559.94,Online
264,435.0,120.0,2024-08-09,3.0,154.8,464.4,Unknown
265,340.0,63.0,2023-12-13,,1760.8,,Online
266,241.0,106.0,2023-12-25,-1.0,1925.77,,
267,317.0,93.0,2023-09-15,2.0,1552.68,3105.36,Partner
268,402.0,108.0,2023-07-24,1000.0,233.93,233930.0,Online
269,219.0,36.0,2024-06-04,2.0,1449.55,2899.1,
270,348.0,19.0,2023-11-02,1.0,1049.75,1049.75,Partner
271,324.0,136.0,2024-05-26,3.0,1555.76,4667.28,Online
272,193.0,36.0,2024-10-02,,1637.4,,Unknown
273,313.0,,2024-07-18,-1.0,1020.95,,Store
274,396.0,21.0,2023-11-07,2.0,1679.2,3358.4,
275,395.0,102.0,2024-03-14,3.0,1382.03,4146.09,
276,152.0,32.0,UNKNOWN,3.0,154.33,462.99,
277,313.0,17.0,2024-02-23,1000.0,13.98,13980.0,Partner
278,194.0,58.0,2023-11-25,2.0,5.97,11.94,Online
279,121.0,40.0,UNKNOWN,1.0,1449.37,1449.37,Partner
280,399.0,68.0,2024-06-16,1.0,868.31,868.31,
281,9.0,112.0,2023-10-28,1000.0,1375.26,1375260.0,Online
282,188.0,109.0,2023-08-29,-1.0,1803.51,,
283,480.0,82.0,2025-03-04,1.0,842.04,842.04,Store
284,145.0,17.0,2023-10-28,2.0,1701.99,3403.98,Store
285,346.0,119.0,2024-03-01,3.0,1265.28,3795.84,Unknown
286,365.0,4.0,2023-12-15,,574.39,,Partner
287,400.0,38.0,2024-08-01,3.0,694.0,2082.0,Store
288,103.0,148.0,2023-12-21,2.0,474.07,948.14,Unknown
289,94.0,147.0,2024-06-20,1000.0,1352.45,1352450.0,
290,46.0,46.0,2024-08-05,,1300.24,,Partner
291,390.0,36.0,2023-09-30,-1.0,706.66,,
292,320.0,137.0,2023-11-26,1000.0,292.62,292620.0,Unknown
293,235.0,103.0,2023-12-20,1000.0,1864.48,1864480.0,Unknown
294,,27.0,2024-05-04,,384.11,,
295,245.0,62.0,2025-02-06,2.0,1538.88,3077.76,Store
296,216.0,67.0,2025-06-26,3.0,50.82,152.46,Online
297,59.0,146.0,2025-03-10,2.0,1986.47,3972.94,Store
298,404.0,43.0,2025-02-07,1000.0,1958.08,1958080.0,Online
299,59.0,81.0,2023-11-20,1.0,980.95,980.95,Partner
300,484.0,107.0,2024-06-20,1000.0,1834.12,1834120.0,Unknown
301,382.0,67.0,2025-02-07,1.0,1785.74,1785.74,
302,23.0,134.0,2024-11-30,3.0,1139.18,3417.54,Online
303,363.0,64.0,2025-05-07,1000.0,1865.21,1865210.0,Online
304,78.0,110.0,2024-11-20,,506.33,,Store
305,16.0,139.0,2024-10-06,1.0,241.55,241.55,
306,69.0,29.0,2025-04-27,,1377.22,,Partner
307,287.0,30.0,2024-11-17,,404.15,,Store
308,107.0,57.0,2023-08-14,1000.0,1769.6,1769600.0,Partner
309,433.0,110.0,2025-05-24,1000.0,442.4,442400.0,
310,173.0,134.0,2023-07-21,-1.0,1632.08,,
311,443.0,,2024-07-11,,285.81,,Partner
312,438.0,123.0,2024-04-17,1.0,1032.34,1032.34,Online
313,164.0,86.0,2024-01-12,1000.0,1093.72,1093720.0,Partner
314,257.0,90.0,2025-04-05,1.0,1181.07,1181.07,Partner
315,184.0,15.0,2025-06-27,,NaN,,Store
316,46.0,100.0,2024-01-12,-1.0,748.92,,
317,56.0,43.0,2024-06-24,1000.0,359.67,359670.0,Online
318,207.0,136.0,2024-07-22,,1197.81,,Unknown
319,47.0,14.0,2024-08-22,2.0,1903.99,3807.98,
320,197.0,92.0,2025-03-05,1000.0,330.65,330650.0,Partner
321,459.0,39.0,2023-08-24,,1080.05,,Partner
322,474.0,,2024-02-25,3.0,352.16,1056.48,Store
323,325.0,100.0,2024-02-02,-1.0,1812.02,,Online
324,146.0,120.0,2024-08-15,1.0,415.69,415.69,Partner
325,123.0,106.0,2023-11-16,2.0,1408.92,2817.84,Partner
326,12.0,102.0,2025-03-20,1.0,1930.68,1930.68,Unknown
327,47.0,6.0,2024-10-07,-1.0,943.25,,Partner
328,487.0,49.0,2024-09-04,,1498.06,,Partner
329,72.0,77.0,2025-02-17,-1.0,326.19,,Online
330,209.0,2.0,2024-03-17,1000.0,1856.98,1856980.0,Unknown
331,75.0,82.0,2023-12-01,1000.0,272.73,272730.0,Online
332,73.0,146.0,2024-09-08,1.0,180.42,180.42,Online
333,276.0,120.0,2024-08-20,,165.93,,Store
334,440.0,117.0,2024-11-29,3.0,843.89,2531.67,Unknown
335,462.0,147.0,2024-07-25,1.0,728.9,728.9,Online
336,369.0,92.0,2024-12-31,,271.37,,
337,66.0,149.0,UNKNOWN,1.0,1518.01,1518.01,Unknown
338,21.0,89.0,2025-01-11,3.0,912.39,2737.17,Partner
339,353.0,38.0,2025-06-13,,1335.56,,Partner
340,346.0,116.0,2023-10-30,1.0,1987.99,1987.99,
341,11.0,22.0,2024-12-09,3.0,567.34,1702.02,Store
342,341.0,123.0,2025-01-31,-1.0,151.08,,Partner
343,156.0,101.0,2025-02-23,1.0,376.63,376.63,
344,194.0,117.0,2024-12-13,1.0,1401.94,1401.94,Partner
345,164.0,,2023-10-08,1.0,865.21,865.21,Store
346,13.0,109.0,2025-05-28,2.0,856.77,1713.54,
347,174.0,91.0,2025-05-08,3.0,1148.37,3445.11,Store
348,422.0,119.0,2024-10-29,1.0,851.98,851.98,Unknown
349,450.0,27.0,2025-02-25,2.0,1919.61,3839.22,Partner
350,489.0,94.0,2024-06-25,1000.0,966.73,966730.0,Store
351,374.0,75.0,2023-12-24,2.0,1503.56,3007.12,
352,331.0,42.0,2025-05-17,1.0,199.7,199.7,Online
353,102.0,8.0,2024-11-11,,127.73,,Online
354,164.0,140.0,2024-07-23,1.0,NaN,,Unknown
355,433.0,102.0,2023-08-08,1.0,504.39,504.39,Online
356,112.0,9.0,2025-01-05,3.0,1693.14,5079.42,Unknown
357,365.0,131.0,2024-02-19,1.0,40.6,40.6,Unknown
358,460.0,148.0,2023-09-21,2.0,1094.78,2189.56,Store
359,7.0,65.0,2024-10-20,,953.98,,Partner
360,30.0,144.0,2023-10-02,2.0,694.86,1389.72,Partner
361,20.0,120.0,2025-04-16,-1.0,1733.63,,Online
362,270.0,44.0,2023-08-03,-1.0,568.59,,Unknown
363,302.0,11.0,2024-01-31,-1.0,427.43,,Online
364,284.0,134.0,2025-04-11,,1233.85,,Partner
365,59.0,22.0,2024-02-16,-1.0,260.66,,
366,415.0,113.0,2023-11-06,2.0,987.62,1975.24,Partner
367,438.0,110.0,2024-12-17,1000.0,367.01,367010.0,
368,496.0,75.0,2024-02-20,2.0,727.41,1454.82,Online
369,270.0,39.0,2024-11-20,1.0,100.56,100.56,Store
370,486.0,121.0,2025-04-02,2.0,1318.45,2636.9,Store
371,358.0,17.0,2023-11-27,1.0,1755.14,1755.14,
372,34.0,6.0,2025-04-05,-1.0,204.12,,Online
373,451.0,36.0,2023-08-12,,1055.03,,
374,388.0,65.0,2023-09-17,1.0,74.52,74.52,Partner
375,350.0,18.0,2024-08-27,3.0,383.26,1149.78,Online
376,379.0,42.0,2025-03-04,1000.0,1655.07,1655070.0,
377,473.0,111.0,2024-10-04,1000.0,1070.79,1070790.0,Online
378,113.0,54.0,UNKNOWN,-1.0,1013.47,,
379,214.0,84.0,2024-07-21,-1.0,1623.61,,Online
380,125.0,84.0,2024-10-21,3.0,NaN,,Store
381,202.0,24.0,2024-02-05,2.0,1335.97,2671.94,Store
382,470.0,5.0,2024-05-29,3.0,1800.93,5402.79,Partner
383,263.0,,2024-08-03,1.0,1769.41,1769.41,Store
384,43.0,21.0,2023-11-09,,496.94,,Partner
385,71.0,30.0,2024-09-17,-1.0,1584.23,,Partner
386,220.0,138.0,2024-11-26,,1506.87,,Store
387,179.0,33.0,2024-08-02,,769.72,,Online
388,443.0,45.0,2023-12-09,-1.0,1445.92,,Store
389,156.0,13.0,2024-07-13,-1.0,1181.54,,Partner
390,458.0,,2023-08-08,1000.0,486.49,486490.0,Online
391,132.0,116.0,2024-05-07,,113.87,,
392,434.0,62.0,2025-03-26,-1.0,1867.75,,
393,,40.0,2025-07-03,3.0,167.02,501.06,Store
394,368.0,136.0,2025-04-08,2.0,1332.0,2664.0,Store
395,425.0,49.0,2024-09-17,1.0,1186.15,1186.15,Unknown
396,46.0,37.0,2024-04-22,1.0,1493.53,1493.53,Online
397,179.0,71.0,UNKNOWN,1000.0,907.25,907250.0,Unknown
398,485.0,117.0,2025-06-19,1.0,141.16,141.16,Partner
399,400.0,53.0,2024-08-14,3.0,1141.17,3423.51,Partner
400,5.0,112.0,2024-02-10,1.0,434.42,434.42,Online
401,222.0,37.0,2024-04-05,3.0,1839.42,5518.26,
402,104.0,144.0,2023-09-11,3.0,1740.11,5220.33,Partner
403,317.0,29.0,2024-12-22,2.0,1438.7,2877.4,Partner
404,72.0,102.0,2024-09-08,3.0,659.42,1978.26,Online
405,300.0,109.0,2024-10-19,,274.46,,Online
406,383.0,110.0,2024-04-04,1.0,233.96,233.96,
407,342.0,143.0,2024-10-07,1000.0,1497.9,1497900.0,Store
408,120.0,79.0,2024-08-17,,1905.94,,
409,209.0,,2025-03-19,2.0,1262.58,2525.16,Unknown
410,183.0,1.0,2024-05-18,,565.17,,Online
411,388.0,72.0,2025-04-29,2.0,977.39,1954.78,Partner
412,208.0,17.0,2024-06-02,2.0,805.05,1610.1,Unknown
413,219.0,100.0,2023-11-22,1000.0,1830.97,1830970.0,Partner
414,444.0,101.0,2025-01-26,-1.0,1767.27,,Unknown
415,254.0,119.0,2024-01-16,,1532.75,,Store
416,446.0,,2024-02-24,1.0,1246.45,1246.45,Unknown
417,337.0,74.0,2024-03-22,1000.0,932.21,932210.0,Online
418,415.0,85.0,2023-10-04,3.0,959.99,2879.97,
419,210.0,26.0,2024-12-26,-1.0,311.63,,Store
420,222.0,25.0,2023-12-31,3.0,274.62,823.86,Unknown
421,464.0,77.0,2025-03-08,2.0,1437.61,2875.22,Store
422,184.0,106.0,2024-10-05,-1.0,1579.04,,Store
423,,44.0,2024-08-26,1000.0,514.77,514770.0,Unknown
424,204.0,34.0,2024-04-24,3.0,818.56,2455.68,
425,401.0,31.0,2024-05-24,1000.0,120.13,120130.0,Unknown
426,236.0,82.0,2024-05-22,-1.0,176.18,,Online
427,89.0,105.0,2023-08-17,1000.0,1174.42,1174420.0,Online
428,95.0,107.0,2024-01-29,-1.0,1734.75,,Unknown
429,223.0,50.0,2024-07-20,3.0,1523.5,4570.5,Store
430,426.0,42.0,2024-10-16,,798.09,,Unknown
431,6.0,96.0,2024-05-02,3.0,1396.09,4188.27,
432,353.0,63.0,2025-04-07,1000.0,1610.11,1610110.0,Partner
433,330.0,35.0,2024-02-01,,20.81,,
434,487.0,142.0,2024-11-11,1000.0,1264.17,1264170.0,Online
435,419.0,84.0,2024-05-04,,1390.79,,Store
436,96.0,141.0,2024-05-14,2.0,549.43,1098.86,Online
437,329.0,117.0,2024-01-24,,970.12,,
